"ch1","ch2","ch3","ch4","ch1re","ch2re","ch3re","ch4re"
4424,725,757,587,3440,559,599,545
3900,681,772,589,3346,537,610,537
3495,679,782,546,2989,532,588,505
4035,710,655,571,3449,527,558,518
4212,763,862,603,3289,607,655,585
4542,588,563,476,3131,447,469,447
4583,642,757,545,3431,509,571,530
4842,919,979,747,3554,697,749,665
3944,334,367,282,3223,280,293,273
4430,459,470,343,3187,321,346,325
4505,297,304,242,3299,248,257,230
4378,317,318,265,3307,253,252,251
4178,291,308,234,3221,227,230,220
3788,318,298,247,3046,247,249,227
3496,425,444,325,2762,318,357,313
4894,420,418,321,3403,320,326,312
4503,394,405,304,3482,315,309,291
2069,204,227,157,1680,152,159,142
2670,227,229,167,2117,160,160,164
2151,207,221,163,1759,160,166,157
2423,170,202,142,1981,140,141,135
2022,237,252,192,1738,186,188,180
4518,348,363,281,3780,261,272,271
4508,378,367,283,3915,278,275,262
5028,316,327,256,3360,255,264,245
4830,333,351,271,3961,250,256,242
4838,353,383,259,3762,244,272,242
2777,100,100,76,2300,85,78,75
2373,117,120,87,1879,88,88,83
2698,112,112,89,2092,86,85,86
2705,121,123,89,2220,84,89,83
2776,112,112,80,2046,80,78,77
5951,307,306,256,4551,235,244,241
5497,309,316,250,4279,236,241,227
5253,362,385,271,4102,271,273,259
5288,323,322,258,4248,248,243,239
5787,320,323,233,4196,225,248,223
3218,94,92,70,2436,63,67,66
2576,100,96,72,2061,74,72,69
3504,109,115,82,2710,80,82,77
2779,86,83,71,2076,68,68,67
3514,97,97,71,2536,68,68,68
1845,38,38,30,1225,31,31,30
1748,48,48,36,1278,36,36,34
1978,44,44,32,1448,33,33,31
2270,39,39,32,1848,33,33,31
2310,39,39,31,1789,32,32,30
917,21,21,16,708,17,17,16
791,20,20,16,609,18,18,16
1182,27,27,17,897,19,19,17
1156,23,23,17,1058,16,16,17
1437,21,21,16,1260,16,16,15
7411,268,273,201,5833,191,191,188
6967,247,244,179,5622,175,172,169
7688,228,236,192,5890,179,185,179
7561,256,258,186,5672,186,187,178
7443,251,254,191,5606,190,190,175
4106,102,102,72,3214,72,72,70
4260,102,102,74,3389,71,71,73
4169,94,94,69,3009,69,69,65
3345,87,87,67,2832,67,67,66
3412,81,81,63,2812,64,64,61
